lot_id	step_id	rpt_time	line_id	event_time	activity_code	txn_seq	site	lot_type	part_id	sale_code	prc_status	priority	process_id	eqp_type	eqp_id	status	pre_step_id	next_step_id	pre_tkout_time	tkin_time	create_time	lot_qty	start_lot_qty	operator_id	event_qty	event_status	event_value	new_value	old_value	child_lot_id	parent_lot_id	comments	hold_code	rework_flag	rework_qty	subcontract_site_code	last_txn_seq	ads_wait	aql_flag	inkless_code	eds_pgm_code	eds_sel_code	inv_qty	er_issue_purpose_codepose	er_issue_emp_no	er_issue_dept_code	loss_qty	lot_asy_site	lot_eds_site	lot_fab_site	lot_other	lot_test_site	match_abnormal	match_customer	mcp_ncf_code	manuf_order_no	mod_tst_site	nca_code	nce_code	ncf_code	ncq_code	nct_code	oem_part_id	old_part_id	pkg_option_code	option_code	pkg_type	er_priority_dest	er_purpose_type	recycle_step_id	return_code	rework_cnt	rework_code	rework_main_step	eds_lot_id	eds_part_id	shelf_no	ship_site	tkin_qty	tkout_qty	transfer_qty	wafer_qty	week_code	work_order_no	eds_mrb_no	eds_sbl_code	nch_code	ncm_code	dummy_pkg_qty	step_desc	cutoff_date	area_hold_qty	assy_in_time	hold_qty	match_packing_type	merge_cnt	remainder_code	remainder_no	skip_step	step_hold_qty	test_intime	total_hold_qty	yfgs_intime	yhs1_intime	yuts_intime	carrier_type	eds_ivpp_code	undo_flag	mo_fixed	return_flag	pctest_cnt	org_system_time	event_key	edw_event_time	src_sys_name	last_update_time	mcp_seq	eqp_mod_flag	ncs_code	hold_exp_date_desc	gate_no	vendor_lot_id	pctest_kind	eval_code	vendor_id	ast_flag	ncb_code	nck_code	ncp_code	ncr_code	tier_code	opt_code	multi_hold_code	burn_in_time	sh_pgm	mod_assy_line_id	inspct_code	s_box_list	chgreqno	erinfo	inline_yn	assypart	ccsreqno	bonus_code	work_order_id	from_line	mcp_part	priority_type	biz_partner	asy_start	val_type	mc_nct	cs_flag	be_er_code	eds_out_time	sc_assy_out_time	half_qty	rework_step	tr_req_no	component_ids	component_chips	slot_number	edl_flag	sch_seg	real_next_step_seq	tkout_date
PCI0289X2	T071	2022-05-06 22:00	YTS4	2022-05-06 18:44	AddComment	10370011847	OY	EE	K3KL3L30CM-BGCT000-PPB9AH	K3KL3L30CM-BGCT000	Active	55	AKLP4T	PBTESTER	A182A	Run	T070	T075	2022-05-04 0:26	2022-05-06 18:44	2022-05-04 0:26	422	422	WORKmanI	422	-	null	null	null	null	null	-	- 	null	0	PT	10370011845	null	null	S01	null	null	null	E4	21016002:04017098	C10F6476:C10F1720	0	YA3	PT	PP	SPM	YT4	NCB	0	-:-	null	null	null	null	null	null	null	null	K3KL3L30CM-BG00000-PPB9AH	null	null	9AH	YFGS	FES	null	-	0	null	null	PCI028Q	K4L6E165YC-PPB	null	null	422	422	0	0	2216	null	null	null	null	null		*****	20220506		2022-04-18 18:23	0	0	0	null	null	null		2022-05-01 15:05			2022-04-18 13:29	2022-04-26 11:28	null	null	null	null	null		2022-05-06 18:44		2022-05-06 18:44	Component	2022-05-06 22:31	0	/REM	null	null	A3202112310013	null	null	null	PT2204180012	null	SPM	null	null	null	null	null	null	1530	null	null	null	null	null	C10F6476:21016002:E4:C10F1720:04017098:005:K3KL3L30CMB-Z00:-:-	N	null	null	null	null	null	K3KL3L30CM-PPB9AH	NORMAL	null	null	null	-:-	null	null	null	null	null	null	null	null	null	null	null	null	T071	2022-05-06
PCI0289X02	T090	2022-05-07 14:00	YTS4	2022-05-07 13:01	ModifyAttr	10372704545	OY	EE	K3KL3L30CM-BGCT000-PPB9AH	K3KL3L30CM-BGCT000	Active	55	AKLP4T	PBTESTER	A182A	Wait	T075	T091	2022-05-06 22:35	2022-05-06 18:44	2022-05-06 22:35	337	337	WORKman	337	-	SHELFNO	-	L-42-TE-01-A01	null	null	-	- 	null	0	PT	10372704544	null	null	S01	null	null	null	E4	21016002:04017098	C10F6476:C10F1720	0	YA3	PT	PP	null	YT4	NCB	0	-:-	null	null	null	null	null	null	null	null	K3KL3L30CM-BG00000-PPB9AH	null	null	9AH	YFGS	FES	null	-	0	null	null	PCI028Q	K4L6E165YC-PPB	null	null	0	337	0	0	2216	null	null	null	null	null		*****	20220507		2022-04-18 18:23	0	0	0	null	null	null		2022-05-01 15:05			2022-04-18 13:29	2022-04-26 11:28	null	null	null	null	null		2022-05-07 13:01		2022-05-07 13:01	Component	2022-05-07 14:31	0	/REM	null	null	A3202112310013	null	null	null	PT2204180012	null	null	null	null	null	null	null	null	1530	null	null	null	null	null	C10F6476:21016002:E4:C10F1720:04017098:005:K3KL3L30CMB-Z00:-:-	N	null	null	null	null	null	K3KL3L30CM-PPB9AH	NORMAL	null	null	null	-:-	null	null	null	null	null	null	null	null	null	null	null	null	T090	2022-05-07
PCI0289X52	T091	2022-05-11 14:00	YTS4	2022-05-11 11:21	ModifyAttr	10386465229	OY	EE	K3KL3L30CM-BGCT000-PPB9AH	K3KL3L30CM-BGCT000	Active	55	AKLP4T	PBTESTER	M805A	Wait	T090	T095	2022-05-07 17:21	2022-05-07 15:43	2022-05-07 17:21	311	311	WORKman	311	-	SHELFNO	-	L-45-TE-01-A01	null	null	-	- 	null	0	PT	10386465227	null	null	S01	null	null	null	E4	21016002:04017098	C10F6476:C10F1720	0	YA3	PT	PP	null	YT4	NCB	0	-:-	null	null	null	null	null	null	null	null	K3KL3L30CM-BG00000-PPB9AH	null	null	9AH	YFGS	FES	null	-	0	null	null	PCI028Q	K4L6E165YC-PPB	null	null	0	311	0	0	2216	null	null	null	null	null		*****	20220511		2022-04-18 18:23	0	0	0	null	null	null		2022-05-01 15:05			2022-04-18 13:29	2022-04-26 11:28	null	null	null	null	null		2022-05-11 11:21		2022-05-11 11:21	Component	2022-05-11 14:32	0	/REM	null	null	A3202112310013	null	null	null	PT2204180012	null	null	null	null	null	null	null	null	1530	null	null	null	null	null	C10F6476:21016002:E4:C10F1720:04017098:005:K3KL3L30CMB-Z00:-:-	N	null	null	null	null	null	K3KL3L30CM-PPB9AH	NORMAL	null	null	null	-:-	null	null	null	null	null	null	null	null	null	null	null	null	T091	2022-05-11
ENGSORTI02	T095	2022-05-03 14:00	YTS4	2022-05-03 13:55	ModifyAttr	10359223269	OY	PE	K3KL3L30CM-BGCT000-PPB9AH	K3KL3L30CM-BGCT000	Active	4	AKLP4T	DUMMY	M803A	Wait	T130	T097	2022-05-01 15:32	2022-05-01 14:51	2022-05-01 15:32	453	473	WORKman	453	-	SHELFNO	L-41-MV-01-A01	-	null	null	-	- 	null	0	null		null	null	null	null	null	null	TP	20049369:20049369	C10F6476:C10F6476	0	YA4	null	null	null	YT4	NCB	   	-:-	null	null	null	null	null	null	null	null	K3KL3L30CM-BGCT000-PPB9AH	null	null	9AH	YFGS	CS	null	-	0	null	null	null	null	L-41-MV-01-A01	null	0	492	0	0	2207	A99	null	null	null	null		*****	20220503			0	   	0	null	null	null		2022-05-03 11:26		2022-05-02 14:19			null	MVP_RELEASE	null	null	null		2022-05-03 13:55		2022-05-03 13:55	Component	2022-05-03 14:31	0	null	null	null	T4201612200066	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	CHG20220502-001	C10F6476:20049369:TP:C10F6476:20049369:045:K3KL3L30CMB-Z00::08042997	null	null	null	BET	null	null	null	ABNORMAL	null	null	null	-:-	CS	EBZZZ0426001	null	null	null	null	null	null	null	null	null	null	T095	2022-05-03
ENGSORTI03	T095	2022-05-02 6:00	YTS4	2022-05-01 15:32	AddComment	10352936517	OY	EE	K3KL3L30CM-BGCT000-PPB9AH	K3KL3L30CM-BGCT000	Hold	4	AKLP4T	DUMMY	M803A	Hold	T091	T097	2022-05-01 15:32	2022-05-01 14:51	2022-05-01 15:32	19	19	AUTOI	19	-	null	null	null	null	null	-	HU	null	0	null		null	null	null	null	null	null	TP	20049369:20049369	C10F6476:C10F6476	0	YA4	null	null	null	YT4	NCB	   	-:-	null	null	null	null	null	null	null	null	-	null	null	9AH	YFGS	DOE	null	-	0	null	null	null	null	null	null	0	492	0	0	2207	null	null	null	null	null		*****	20220501			19	   	0	null	null	null		2022-04-26 8:04					null	MVP_RELEASE	null	null	null		2022-05-01 15:33		2022-05-01 15:32	Component	2022-05-02 6:32	0	null	null	null	T4201612200066	null	null	null	null	null	null	null	null	null	null	null	HU:WP:	null	null	null	null	null	null	C10F6476:20049369:TP:C10F6476:20049369:045:K3KL3L30CMB-Z00::08042997	null	null	null	BET	null	null	null	ABNORMAL	null	null	null	-:-	null	EBZZZ0426001	null	null	null	null	null	null	null	null	null	null	T095	2022-05-02
ENGSORTI0A	T095	2022-05-03 6:00	YTS4	2022-05-02 13:08	ModifyAttr	10356097847	OY	EE	K3KL3L30CM-BGCT000-PPB9AH	K3KL3L30CM-BGCT000	Active	4	AKLP4T	DUMMY	M803A	Wait	T091	T097	2022-05-01 15:32	2022-05-01 14:51	2022-05-02 13:06	20	20	99047719	20	-	SHELFNO	-	41-TEST-06-304	null	null	-	- 	null	0	null		null	null	null	null	null	null	TP	20049369:20049369	C10F6476:C10F6476	0	YA4	null	null	null	YT4	NCB	   	-:-	null	null	null	null	null	null	null	null	-	null	null	9AH	YFGS	DOE	null	-	0	null	null	null	null	null	null	0	492	0	0	2207	null	null	null	null	null		*****	20220502			0	   	0	null	null	null		2022-04-26 8:04					null	MVP_RELEASE	null	null	null		2022-05-02 13:08		2022-05-02 13:08	Component	2022-05-03 6:32	0	null	null	null	T4201612200066	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	C10F6476:20049369:TP:C10F6476:20049369:045:K3KL3L30CMB-Z00::08042997	null	null	null	BET	null	null	null	ABNORMAL	null	null	null	-:-	null	EBZZZ0426001	null	null	null	null	null	null	null	null	null	null	T095	2022-05-03
ENGRINTEL	T090	2022-05-09 22:00	YTS4	2022-05-09 18:05	ModifyAttr	10380686347	OY	EE	K3KL3L30CM-BGCT000-PPB9AH	K3KL3L30CM-BGCT000	Active	4	AKLP4T	PBTESTER	-	Wait	-	T091			2022-05-09 14:02	194	137	WORKman	194	-	SHELFNO	-	L-41-TE-01-A01	null	null	-	- 	null	0	null		null	null	null	null	null	null	TP	20049369:20049369	C10F6476:C10F6476	0	YA4	null	null	null	YT4	   	   	-:-	null	null	null	null	null	null	null	null	-	null	null	9AH	YFGS	DOE	null	-	0	null	null	null	null	null	null	0	0	0	0	2213	null	null	null	null	null		*****	20220509			0	   	0	null	null	null		2022-05-09 14:02					null	null	null	null	null		2022-05-09 18:05		2022-05-09 18:05	Component	2022-05-09 22:31	0	null	null	null	null	null	null	null	null	null	null	null	V01AKMH	null	null	null	null	null	null	null	null	null	null	C10F6476:20049369:TP:C10F6476:20049369:047:K3KL3L30CMB-Z00::08042997	null	null	null	BR9	null	null	null	ABNORMAL	null	null	null	-:-	null	EBZZZ0509001	null	null	null	null	null	null	null	null	null	null	null	2022-05-09
PCK0609X52	T090	2022-05-06 22:00	YTS4	2022-05-06 21:42	AddComment	10370445662	OY	EE	K3KL3L30CM-BGCT000-PPB9AH	K3KL3L30CM-BGCT000	Active	55	AKLP4T	PBTESTER	M805A	Wait	T075	T091	2022-05-04 15:03	2022-05-06 18:29	2022-05-04 15:03	220	220	15034045	220	-	null	null	null	null	null	-	- 	P	1	PT	10370225858	null	null	S01	null	null	null	E4	21016002:07019423	C10F6476:C10F1720	0	YA3	PT	PP	SPM	YT4	NCB	0	-:-	null	null	null	null	null	null	null	null	K3KL3L30CM-BG00000-PPB9AH	null	null	9AH	YFGS	FES	null	-	0	null	null	PCK060Q	K4L6E165YC-PPB	null	null	220	220	0	0	2213	null	null	null	null	null		*****	20220506		2022-04-04 23:58	0	0	0	null	null	null		2022-04-18 20:45			2022-03-31 21:53	2022-04-13 11:30	null	null	null	null	null		2022-05-06 21:42		2022-05-06 21:42	Component	2022-05-06 22:31	0	/REM	null	null	T4201612200026	null	null	null	PT2203310021	null	null	R9Q	V01AKMH	null	null	null	null	1530	null	null	null	null	null	C10F6476:21016002:E4:C10F1720:07019423:007:K3KL3L30CMB-Z00:-:-	N	null	null	null	null	null	K3KL3L30CM-PPB9AH	ABNORMAL	null	null	null	-:-	null	null	null	null	null	null	TRN20220425-019	null	null	null	null	null	T090	2022-05-06
ENGRINTE2	T091	2022-05-10 14:00	YTS4	2022-05-10 4:49	ModifyAttr	10382218964	OY	EE	K3KL3L30CM-BGCT000-PPB9AH	K3KL3L30CM-BGCT000	Active	4	AKLP4T	PBTESTER	M805A	Wait	T090	T095	2022-05-10 4:25	2022-05-10 3:38	2022-05-10 4:25	155	155	WORKman	155	-	SHELFNO	L-42-TE-01-A01	-	null	null	-	- 	null	0	null		null	null	null	null	null	null	TP	20049369:20049369	C10F6476:C10F6476	0	YA4	null	null	null	YT4	NCB	   	-:-	null	null	null	null	null	null	null	null	-	null	null	9AH	YFGS	DOE	null	-	0	null	null	null	null	L-42-TE-01-A01	null	0	155	0	0	2213	null	null	null	null	null		*****	20220510			0	   	0	null	null	null		2022-05-09 14:02					null	null	null	null	null		2022-05-10 4:49		2022-05-10 4:49	Component	2022-05-10 14:32	0	null	null	null	null	null	null	null	null	null	null	null	V01AKMH	null	null	null	null	null	null	null	null	null	null	C10F6476:20049369:TP:C10F6476:20049369:047:K3KL3L30CMB-Z00::08042997	null	null	null	BR9	null	null	null	ABNORMAL	null	null	null	-:-	null	EBZZZ0509001	null	null	null	null	null	null	null	null	null	null	T091	2022-05-10
PCK0609X62	T091	2022-05-08 22:00	YTS4	2022-05-08 21:59	AddComment	10377676379	OY	EE	K3KL3L30CM-BGCT000-PPB9AH	K3KL3L30CM-BGCT000	Active	55	AKLP4T	PBTESTER	M804A	Run	T090	T095	2022-05-06 23:28	2022-05-08 21:59	2022-05-06 23:28	83	83	WORKmanI	83	-	null	null	null	null	null	-	- 	P	1	PT	10377676377	null	null	S01	null	null	null	E4	21016002:07019423	C10F6476:C10F1720	0	YA3	PT	PP	SPM	YT4	NCB	0	-:-	null	null	null	null	null	null	null	null	K3KL3L30CM-BG00000-PPB9AH	null	null	9AH	YFGS	FES	null	-	0	null	null	PCK060Q	K4L6E165YC-PPB	null	null	83	83	0	0	2213	null	null	null	null	null		*****	20220508		2022-04-04 23:58	0	0	0	null	null	null		2022-04-18 20:45			2022-03-31 21:53	2022-04-13 11:30	null	MVP_RELEASE	null	null	null		2022-05-08 21:59		2022-05-08 21:59	Component	2022-05-08 22:31	0	/REM	null	null	T4201704040011	null	null	null	PT2203310021	null	SPM	null	V01AKMH	null	null	null	null	1530	null	null	null	null	null	C10F6476:21016002:E4:C10F1720:07019423:007:K3KL3L30CMB-Z00:-:-	N	null	null	null	null	null	K3KL3L30CM-PPB9AH	ABNORMAL	null	null	null	-:-	null	null	null	null	null	null	TRN20220425-019	null	null	null	null	null	T091	2022-05-08
ENGRINTE02	T095	2022-05-11 6:00	YTS4	2022-05-10 20:15	AddComment	10384280947	OY	EE	K3KL3L30CM-BGCT000-PPB9AH	K3KL3L30CM-BGCT000	Active	4	AKLP4T	DUMMY	M804A	Wait	T091	T097	2022-05-10 20:15	2022-05-10 19:36	2022-05-10 20:15	133	133	AUTOI	133	-	null	null	null	null	null	-	- 	null	0	null		null	null	null	null	null	null	TP	20049369:20049369	C10F6476:C10F6476	0	YA4	null	null	null	YT4	NCB	   	-:-	null	null	null	null	null	null	null	null	-	null	null	9AH	YFGS	DOE	null	-	0	null	null	null	null	null	null	0	133	0	0	2213	null	null	null	null	null		*****	20220510			0	   	0	null	null	null		2022-05-09 14:02					null	null	null	null	null		2022-05-10 20:15		2022-05-10 20:15	Component	2022-05-11 6:32	0	null	null	null	null	null	null	null	null	null	null	null	V01AKMH	null	null	null	null	null	null	null	null	null	null	C10F6476:20049369:TP:C10F6476:20049369:047:K3KL3L30CMB-Z00::08042997	null	null	null	BR9	null	null	null	ABNORMAL	null	null	null	-:-	null	EBZZZ0509001	null	null	null	null	null	null	null	null	null	null	T095	2022-05-11
PCK0609X03	T095	2022-05-09 6:00	YTS4	2022-05-08 22:42	AddComment	10377786605	OY	EE	K3KL3L30CM-BGCT000-PPB9AH	K3KL3L30CM-BGCT000	Active	55	AKLP4T	DUMMY	M804A	Wait	T091	T097	2022-05-08 22:42	2022-05-08 21:59	2022-05-08 22:42	13	13	AUTOI	13	-	null	null	null	null	null	-	- 	P	1	PT	10377785964	null	null	S01	null	null	null	E4	21016002:07019423	C10F6476:C10F1720	0	YA3	PT	PP	null	YT4	NCB	0	-:-	null	null	null	null	null	null	null	null	K3KL3L30CM-BG00000-PPB9AH	null	null	9AH	YFGS	FES	null	-	0	null	null	PCK060Q	K4L6E165YC-PPB	null	null	0	26	0	0	2213	null	null	null	null	null		*****	20220509		2022-04-04 23:58	0	0	0	null	null	null		2022-04-18 20:45			2022-03-31 21:53	2022-04-13 11:30	null	MVP_RELEASE	null	null	null		2022-05-08 22:42		2022-05-08 22:42	Component	2022-05-09 6:32	0	/REM	null	null	T4201704040011	null	null	null	PT2203310021	null	null	null	V01AKMH	null	null	null	null	1530	null	null	null	null	null	C10F6476:21016002:E4:C10F1720:07019423:007:K3KL3L30CMB-Z00:-:-	N	null	null	null	null	null	K3KL3L30CM-PPB9AH	ABNORMAL	null	null	null	-:-	null	null	null	null	null	null	TRN20220425-019	null	null	null	null	null	T095	2022-05-09
PCK0609X72	T095	2022-05-09 6:00	YTS4	2022-05-08 22:42	AddComment	10377786075	OY	EE	K3KL3L30CM-BGCT000-PPB9AH	K3KL3L30CM-BGCT000	Active	55	AKLP4T	DUMMY	M804A	Wait	T091	T097	2022-05-08 22:42	2022-05-08 21:59	2022-05-08 22:42	13	13	AUTOI	13	-	null	null	null	null	null	-	- 	P	1	PT	10377785967	null	null	S01	null	null	null	E4	21016002:07019423	C10F6476:C10F1720	0	YA3	PT	PP	null	YT4	NCB	0	-:-	null	null	null	null	null	null	null	null	K3KL3L30CM-BG00000-PPB9AH	null	null	9AH	YFGS	FES	null	-	0	null	null	PCK060Q	K4L6E165YC-PPB	null	null	0	26	0	0	2213	null	null	null	null	null		*****	20220509		2022-04-04 23:58	0	0	0	null	null	null		2022-04-18 20:45			2022-03-31 21:53	2022-04-13 11:30	null	MVP_RELEASE	null	null	null		2022-05-08 22:42		2022-05-08 22:42	Component	2022-05-09 6:32	0	/REM	null	null	T4201704040011	null	null	null	PT2203310021	null	null	null	V01AKMH	null	null	null	null	1530	null	null	null	null	null	C10F6476:21016002:E4:C10F1720:07019423:007:K3KL3L30CMB-Z00:-:-	N	null	null	null	null	null	K3KL3L30CM-PPB9AH	ABNORMAL	null	null	null	-:-	null	null	null	null	null	null	TRN20220425-019	null	null	null	null	null	T095	2022-05-09
PCIWHPB082	T030	2022-05-03 14:00	YTS4	2022-05-01 22:00	ModifyAttr	10353881576	OY	EE	K3KL3L30CM-BGCT000-PPB9AH	K3KL3L30CM-BGCT000	Active	4	AKLP4T	LUDTESTER	A182A	Wait	T071	T040	2022-04-30 13:21	2022-04-30 10:24	2022-04-30 13:21	249	3321	WORKman	249	-	SHELFNO	L-44-MB-02-A01	-	null	null	-	- 	Y	2	null		null	null	null	null	null	null	TP	21056848:15007917	C10F6476:C10F6476	0	YA4	null	null	null	YT4	NCB	   	-:-	null	null	null	null	null	null	null	null	-	null	null	9AH	YFGS	DOE	null	-	0	-	T071	null	null	L-44-MB-02-A01	null	0	3321	0	0	2207	null	null	null	null	null		*****	20220502			0	   	0	null	null	null		2022-04-13 16:25					null	null	null	null	null		2022-05-01 22:04		2022-05-01 22:00	Component	2022-05-03 14:31	0	/REM	null	null	null	null	null	null	null	null	null	null	V6AEKX9	null	null	null	null	1440	null	null	null	null	null	C10F6476:21056848:TP:C10F6476:15007917:040:K3KL3L30CMB-Z00::15007917	null	null	null	BET	null	null	null	ABNORMAL	null	null	null	-:-	null	EBZZZ0413001	null	null	null	null	null	null	null	null	null	null	T030	2022-05-03
PCIWHPB08A	T030	2022-05-01 14:00	YTS4	2022-04-30 22:52	ModifyAttr	10350477040	OY	EE	K3KL3L30CM-BGCT000-PPB9AH	K3KL3L30CM-BGCT000	Active	4	AKLP4T	LUDTESTER	A182A	Wait	T071	T040	2022-04-30 13:21	2022-04-30 10:24	2022-04-30 22:49	1536	1536	WORKman	1536	-	SHELFNO	L-44-MB-02-A01	-	null	null	-	- 	Y	2	null		null	null	null	null	null	null	TP	21056848:15007917	C10F6476:C10F6476	0	YA4	null	null	null	YT4	NCB	   	-:-	null	null	null	null	null	null	null	null	-	null	null	9AH	YFGS	DOE	null	-	0	-	T071	null	null	L-44-MB-02-A01	null	0	3321	0	0	2207	null	null	null	null	null		*****	20220501			0	   	0	null	null	null		2022-04-13 16:25					null	null	null	null	null		2022-04-30 22:52		2022-04-30 22:52	Component	2022-05-01 14:31	0	/REM	null	null	null	null	null	null	null	null	null	null	V6AEKX9	null	null	null	null	1440	null	null	null	null	null	C10F6476:21056848:TP:C10F6476:15007917:040:K3KL3L30CMB-Z00::15007917	null	null	null	BET	null	null	null	ABNORMAL	null	null	null	-:-	null	EBZZZ0413001	null	null	null	null	null	null	null	null	null	null	T030	2022-05-01
PCIWHPB08B	T030	2022-05-01 14:00	YTS4	2022-04-30 22:52	ModifyAttr	10350477958	OY	EE	K3KL3L30CM-BGCT000-PPB9AH	K3KL3L30CM-BGCT000	Active	4	AKLP4T	LUDTESTER	A182A	Wait	T071	T040	2022-04-30 13:21	2022-04-30 10:24	2022-04-30 22:49	1536	1536	WORKman	1536	-	SHELFNO	L-44-MB-02-A01	-	null	null	-	- 	Y	2	null		null	null	null	null	null	null	TP	21056848:15007917	C10F6476:C10F6476	0	YA4	null	null	null	YT4	NCB	   	-:-	null	null	null	null	null	null	null	null	-	null	null	9AH	YFGS	DOE	null	-	0	-	T071	null	null	L-44-MB-02-A01	null	0	3321	0	0	2207	null	null	null	null	null		*****	20220501			0	   	0	null	null	null		2022-04-13 16:25					null	null	null	null	null		2022-04-30 22:52		2022-04-30 22:52	Component	2022-05-01 14:31	0	/REM	null	null	null	null	null	null	null	null	null	null	V6AEKX9	null	null	null	null	1440	null	null	null	null	null	C10F6476:21056848:TP:C10F6476:15007917:040:K3KL3L30CMB-Z00::15007917	null	null	null	BET	null	null	null	ABNORMAL	null	null	null	-:-	null	EBZZZ0413001	null	null	null	null	null	null	null	null	null	null	T030	2022-05-01
PCIWHPB092	T030	2022-05-06 14:00	YTS4	2022-05-06 13:47	ModifyAttr	10369277956	OY	EE	K3KL3L30CM-BGCT000-PPB9AH	K3KL3L30CM-BGCT000	Active	4	AKLP4T	LUDTESTER	A182A	Wait	T071	T040	2022-05-04 3:57	2022-05-04 2:40	2022-05-04 3:57	1515	1515	WORKman	1515	-	SHELFNO	-	L-44-MB-02-A01	null	null	-	- 	Y	3	null		T030RMSJ73	null	null	null	null	null	TP	21056848:15007917	C10F6476:C10F6476	0	YA4	null	null	null	YT4	NCB	   	-:-	null	null	null	null	null	null	null	null	-	null	null	9AH	YFGS	DOE	null	-	0	-	T071	null	null	null	null	0	1515	0	0	2207	null	null	null	null	null		*****	20220506			0	   	0	null	null	null		2022-04-13 16:25					null	null	null	null	null		2022-05-06 13:47		2022-05-06 13:47	Component	2022-05-06 14:32	0	/REM	null	null	null	null	null	null	null	null	null	null	V6AEKX9	null	null	null	null	1440	null	null	null	null	null	C10F6476:21056848:TP:C10F6476:15007917:040:K3KL3L30CMB-Z00::15007917	null	null	null	BET	null	null	null	ABNORMAL	null	null	null	-:-	null	EBZZZ0413001	null	null	null	null	null	null	null	null	null	null	T030	2022-05-06
PCIWHPB0A2	T030	2022-05-06 14:00	YTS4	2022-05-06 13:59	ModifyAttr	10369306211	OY	EE	K3KL3L30CM-BGCT000-PPB9AH	K3KL3L30CM-BGCT000	Active	4	AKLP4T	LUDTESTER	A182A	Wait	T071	T040	2022-05-04 4:45	2022-05-04 3:11	2022-05-04 4:45	1523	1523	WORKman	1523	-	SHELFNO	-	L-44-MB-02-A01	null	null	-	- 	Y	3	null		T030RMSJ73	null	null	null	null	null	TP	21056848:15007917	C10F6476:C10F6476	0	YA4	null	null	null	YT4	NCB	   	-:-	null	null	null	null	null	null	null	null	-	null	null	9AH	YFGS	DOE	null	-	0	-	T071	null	null	null	null	0	1523	0	0	2207	null	null	null	null	null		*****	20220506			0	   	0	null	null	null		2022-04-13 16:25					null	null	null	null	null		2022-05-06 13:59		2022-05-06 13:59	Component	2022-05-06 14:32	0	/REM	null	null	null	null	null	null	null	null	null	null	V6AEKX9	null	null	null	null	1440	null	null	null	null	null	C10F6476:21056848:TP:C10F6476:15007917:040:K3KL3L30CMB-Z00::15007917	null	null	null	BET	null	null	null	ABNORMAL	null	null	null	-:-	null	EBZZZ0413001	null	null	null	null	null	null	null	null	null	null	T030	2022-05-06
